expense_name,category,amount,date
in est risus,Travel,38,12/17/2019
duis aliquam convallis,Gifts,29,12/14/2019
duis at,Gifts,50,12/19/2019
quam,Travel,45,12/20/2019
et magnis,Groceries,25,12/09/2019
donec,Food,44,12/04/2019
ipsum primis,Travel,17,12/16/2019
nisi eu,Travel,5,12/15/2019
in felis,Bills,35,12/09/2019
faucibus accumsan odio,Bills,10,12/24/2019
in,Gifts,43,12/15/2019
blandit,Gifts,12,12/28/2019
augue quam sollicitudin,Gifts,31,12/28/2019
tempor convallis nulla,Food,44,12/27/2019
ut nunc vestibulum,Travel,5,12/16/2019
in imperdiet et,Food,30,12/06/2019
id,Travel,13,12/06/2019
viverra pede,Gifts,38,12/25/2019
curae mauris,Bills,47,12/21/2019
ac nibh,Groceries,17,12/27/2019
eget orci,Gifts,26,12/24/2019
curae duis faucibus,Travel,8,12/28/2019
congue,Travel,36,12/29/2019
eget,Gifts,47,12/19/2019
nulla sed,Travel,24,12/02/2019
mi,Groceries,27,12/29/2019
lacinia eget tincidunt,Travel,22,12/21/2019
vitae nisi nam,Travel,39,12/26/2019
tempus vel,Groceries,27,12/11/2019
ac,Bills,16,12/21/2019
quam sapien,Travel,24,12/06/2019
ac diam cras,Groceries,16,12/21/2019
et,Travel,18,12/15/2019
duis ac nibh,Bills,15,12/04/2019
quis orci eget,Bills,20,12/29/2019
in libero,Travel,33,12/13/2019
congue diam,Gifts,47,12/03/2019
vestibulum,Groceries,43,12/16/2019
integer ac,Travel,11,12/13/2019
orci,Travel,48,12/13/2019
suscipit ligula in,Food,40,12/22/2019
parturient montes nascetur,Travel,45,12/08/2019
viverra,Groceries,41,12/17/2019
at,Travel,47,12/07/2019
faucibus orci,Groceries,7,12/06/2019
luctus,Gifts,39,12/09/2019
parturient,Food,46,12/13/2019
tempus,Bills,10,12/08/2019
consequat ut nulla,Food,19,12/13/2019
maecenas ut,Bills,40,12/06/2019
