title,budget_category,amount,date
vestibulum proin eu,Food,7,24/12/2019
erat nulla tempus,Travel,17,9/12/2019
potenti,Bills,19,10/12/2019
libero rutrum ac,Travel,12,13/12/2019
lacus,Gifts,14,25/12/2019
lacus at velit,Misc,6,15/12/2019
nullam varius nulla,Gifts,12,7/12/2019
vulputate nonummy,Groceries,12,12/12/2019
consectetuer,Travel,19,9/12/2019
in est risus,Gifts,18,6/12/2019
libero convallis,Bills,17,3/12/2019
amet,Food,12,17/12/2019
neque duis bibendum,Travel,18,17/12/2019
orci,Misc,9,14/12/2019
faucibus accumsan odio,Misc,10,26/12/2019
ante,Groceries,11,16/12/2019
molestie sed justo,Bills,13,10/12/2019
lectus,Travel,17,2/12/2019
elit proin,Gifts,13,18/12/2019
montes nascetur ridiculus,Gifts,13,7/12/2019
risus dapibus augue,Travel,20,15/12/2019
erat,Misc,18,21/12/2019
justo eu,Gifts,16,1/12/2019
eget vulputate ut,Gifts,18,5/12/2019
libero,Gifts,11,12/12/2019
id ligula suspendisse,Groceries,7,25/12/2019
sapien non mi,Groceries,8,26/12/2019
feugiat et eros,Travel,10,19/12/2019
vel nulla eget,Travel,15,17/12/2019
facilisi cras non,Bills,16,23/12/2019
eu sapien cursus,Misc,10,5/12/2019
pharetra magna,Groceries,14,1/12/2019
in faucibus,Groceries,17,11/12/2019
sociis natoque,Bills,9,13/12/2019
sed,Food,7,10/12/2019
donec diam,Food,18,22/12/2019
metus,Travel,7,28/12/2019
nullam,Travel,9,18/12/2019
ac tellus,Travel,17,9/12/2019
est risus auctor,Groceries,14,24/12/2019
